Function object uid, Function label, calls, execution time(μs)
127, lambda-42, 1, 5
191, Element[init-values], 1, 3
255, base[=], 1661, 1149
126, Element[init-values], 1, 2
190, int[=], 1, 2
254, base[=], 2911, 2020
125, int[=], 1, 2
253, base[=], 1216, 850
188, lambda-42, 1, 10
252, base[=], 2917, 1974
123, lambda-42, 1, 4
187, Element[init-values], 1, 2
251, base[=], 772, 541
186, int[=], 1, 2
122, Element[init-values], 1, 3
250, base[=], 2917, 2048
121, int[=], 1, 2
249, base[=], 440, 286
184, lambda-42, 1, 5
248, base[=], 2044, 1400
183, Element[init-values], 1, 2
119, lambda-42, 1, 5
247, base[=], 224, 149
182, int[=], 1, 2
118, Element[init-values], 1, 3
246, base[=], 438, 317
117, int[=], 1, 2
245, base[=], 99, 67
180, lambda-42, 1, 4
244, base[=], 128, 96
179, Element[init-values], 1, 2
115, lambda-42, 1, 26
243, base[=], 35, 23
178, int[=], 1, 2
114, Element[init-values], 1, 3
242, base[=], 24, 26
113, int[=], 1, 17
241, base[=], 8, 19
176, lambda-42, 1, 4
112, List[make_list], 34, 11235
240, List[is_shorter_than], 2809, 189555
175, Element[init-values], 1, 2
239, int[=], 1, 3
111, List[tail], 2809, 2022735
174, int[=], 1, 2
110, List[benchmark], 1, 201255
173, int[=], 1, 2
237, lambda-42, 1, 4
109, List[verify_result], 1, 10
236, Element[init-values], 1, 3
171, lambda-42, 1, 10
235, int[=], 1, 2
170, Element[init-values], 1, 2
169, int[=], 1, 2
233, lambda-42, 1, 5
232, Element[init-values], 1, 3
167, lambda-42, 1, 4
231, int[=], 1, 2
166, Element[init-values], 1, 2
165, int[=], 1, 2
229, lambda-42, 1, 5
228, Element[init-values], 1, 2
163, lambda-42, 1, 11
227, int[=], 1, 2
99, not, 20859, 14591
162, Element[init-values], 1, 2
161, int[=], 1, 2
225, lambda-42, 1, 10
224, Element[init-values], 1, 2
159, lambda-42, 1, 4
223, int[=], 1, 2
158, Element[init-values], 1, 2
157, int[=], 1, 2
221, lambda-42, 1, 4
220, Element[init-values], 1, 2
284, int[=], 1, 3
155, lambda-42, 1, 5
219, int[=], 1, 2
91, !=, 20859, 88724
283, int[+], 9, 27
154, Element[init-values], 1, 2
90, =, 18797, 45985
282, Element[length], 1, 6
153, int[=], 1, 2
217, lambda-42, 1, 11
281, Element[length], 1, 21
216, Element[init-values], 1, 3
280, Element[length], 1, 33
151, lambda-42, 1, 5
215, int[=], 1, 2
279, Element[length], 1, 44
150, Element[init-values], 1, 3
214, int[=], 1, 2
278, Element[length], 1, 58
149, int[=], 1, 2
85, +, 9, 43
277, Element[length], 1, 66
212, lambda-42, 1, 4
276, Element[length], 1, 80
147, lambda-42, 1, 4
211, Element[init-values], 1, 2
275, Element[length], 1, 94
146, Element[init-values], 1, 3
210, int[=], 1, 2
274, Element[length], 1, 104
145, int[=], 1, 7
273, Element[length], 1, 118
208, lambda-42, 1, 4
272, base[=], 851, 587
143, lambda-42, 1, 10
207, Element[init-values], 1, 2
271, base[=], 851, 608
142, Element[init-values], 1, 2
206, int[=], 1, 2
270, base[=], 851, 591
141, int[=], 1, 2
269, base[=], 851, 564
204, lambda-42, 1, 4
268, base[=], 851, 644
139, lambda-42, 1, 4
203, Element[init-values], 1, 2
267, base[=], 476, 327
138, Element[init-values], 1, 2
202, int[=], 1, 3
266, base[=], 352, 254
137, int[=], 1, 2
265, base[=], 577, 411
200, lambda-42, 1, 4
264, base[=], 961, 687
135, lambda-42, 1, 17
199, Element[init-values], 1, 3
263, base[=], 1265, 876
134, Element[init-values], 1, 3
198, int[=], 1, 2
262, base[=], 2810, 1943
133, int[=], 1, 2
261, base[=], 1505, 1024
196, lambda-42, 1, 9
260, base[=], 2440, 1700
131, lambda-42, 1, 5
195, Element[init-values], 1, 3
259, base[=], 1665, 1162
130, Element[init-values], 1, 3
194, int[=], 1, 2
258, base[=], 2835, 1936
129, int[=], 1, 2
257, base[=], 1760, 1243
192, lambda-42, 1, 4
256, base[=], 2886, 2037
