Function identifier, Function label, calls, execution time(μs)
63, list[get], 185616, 200294
127, _Vector2D[minus], 207536, 2500943
62, lambda-62, 117625, 508741
126, _Vector2D[plus], 207536, 2460174
125, _Vector2D[init-values], 435074, 388878
124, _compare_numbers, 2053783, 13863037
55, int[>=], 117625, 221013
54, int[>], 753623, 503547
118, Vector[size], 116104, 576422
52, int[<], 2715390, 2024704
51, int[=], 2379522, 1615400
48, int[*], 2307, 4252
47, int[-], 116104, 96481
110, Vector[for_each], 800, 131599380
46, int[+], 10200, 7419
173, CD[_verify_result], 1, 28
44, int[as], 10000, 8255
108, Vector[append], 107053, 9151624
172, CD[inner_benchmark_loop], 1, 140081796
171, CD[_benchmark], 1, 140081764
170, _Simulator[simulate], 200, 2521148
106, Vector[at], 52292, 826582
169, _Simulator[init-values], 1, 11230
41, lambda-41, 886617, 1331387
168, _Aircraft[init-values], 20000, 19736
103, empty_vec, 44027, 5950187
167, _Motion[find_intersection], 10764, 4011396
166, _Motion[delta], 21528, 426756
165, _Motion[init-values], 20000, 24925
164, _draw_motion_on_voxel_map, 20000, 115851911
99, not, 4118912, 2803789
163, _voxel_hash, 20000, 768466
162, _reduce_collision_set, 200, 119023169
161, each, 41120, 1554485
160, lambda, 20000, 115885120
32, double[>=], 12915, 8778
95, >=, 130540, 623769
31, double[<=], 2535773, 2262841
159, _recurse, 435072, 305147421
94, >, 2453757, 7182313
30, double[>], 1700134, 1145826
158, _put_into_map, 51884, 37508090
29, double[<], 2754379, 1829937
93, <=, 2535773, 7901833
157, _is_in_voxel, 435072, 60961832
92, <, 5469769, 15028710
28, double[=], 3818354, 2612674
156, _CollisionDetector[handle_new_frame], 200, 137544090
91, !=, 3336668, 12848937
27, double[/], 2159969, 1630876
155, find_collisions, 10764, 5817175
154, for_removal, 20000, 2422275
90, =, 5863959, 15175104
26, double[*], 290470, 306093
153, each, 20000, 9269335
25, double[-], 3175705, 3276033
24, double[+], 3085654, 2362907
88, /, 2159969, 7921208
152, _Collision[init-values], 4305, 5481
151, _CallSign[compare_to], 429888, 2938466
87, *, 292777, 1037112
86, -, 3291809, 10841884
150, _CallSign[init-values], 100, 83
22, double[sqrt], 21478, 14357
85, +, 3095654, 10012278
21, double[cos], 10000, 7830
20, double[sin], 10000, 7825
148, _RedBlackTree[_right_rotate], 12589, 148115
147, _RedBlackTree[_left_rotate], 52779, 676273
19, double[trunc], 40000, 29155
146, _RedBlackTree[_tree_insert], 209547, 27583827
145, _RedBlackTree[_find_node], 71884, 17791476
144, _RedBlackTree[for_each], 400, 5938088
143, _RedBlackTree[get], 71884, 18126936
141, _RedBlackTree[put], 209547, 32684637
140, _InsertResult[init-values], 209547, 266785
139, _Entry[init-values], 61120, 57507
138, _Node[successor], 61120, 1189507
137, _Node[init-values], 113104, 112507
136, _tree_minimum, 32648, 344168
135, _Vector3D[times], 12915, 228178
134, _Vector3D[magnitude], 50, 1638
133, _Vector3D[squared_magnitude], 21528, 654463
4, base[=], 3002751, 2006445
132, _Vector3D[dot], 32242, 900250
131, _Vector3D[minus], 64484, 1098251
66, list[length], 204799, 136048
130, _Vector3D[plus], 12915, 269820
129, _Vector3D[init-values], 110314, 112586
65, list[put], 582320, 381148
64, list[set], 189613, 230233
128, _Vector2D[compare_to], 1088615, 21954148
