Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses
1,0,4,42,lambda-42,LOAD_FIELD,0,8660
1,1,4,43,lambda-43,LOAD_FIELD,1100,3939
1,5,4,87,-,LOAD_FIELD,2519,1101
1,13,4,91,=,LOAD_FIELD,0,1
1,15,12,92,!=,LOAD_FIELD,5039,3621
1,23,4,96,>=,LOAD_FIELD,0,8659
9,39,16,103,Permute.benchmark,STORE_FIELD,0,1
10,39,64,103,Permute.benchmark,STORE_FIELD,0,1
11,39,76,103,Permute.benchmark,LOAD_FIELD,0,1
13,39,100,103,Permute.benchmark,LOAD_FIELD,0,1
17,40,8,104,Permute._permute,LOAD_FIELD,8659,1
17,40,12,104,Permute._permute,LOAD_FIELD,0,8660
17,40,32,104,Permute._permute,STORE_FIELD,8659,1
20,40,100,104,Permute._permute,LOAD_FIELD,3619,1
24,40,164,104,Permute._permute,LOAD_FIELD,5038,1
25,40,192,104,Permute._permute,LOAD_FIELD,5038,1
26,40,216,104,Permute._permute,LOAD_FIELD,5038,1
28,40,244,104,Permute._permute,LOAD_FIELD,0,5039
34,41,8,105,Permute._swap,LOAD_FIELD,10077,1
34,41,4,105,Permute._swap,LOAD_FIELD,10077,1
35,41,40,105,Permute._swap,LOAD_FIELD,10077,1
35,41,44,105,Permute._swap,LOAD_FIELD,10077,1
35,41,60,105,Permute._swap,LOAD_FIELD,10077,1
35,41,64,105,Permute._swap,LOAD_FIELD,10077,1
36,41,92,105,Permute._swap,LOAD_FIELD,10077,1
36,41,96,105,Permute._swap,LOAD_FIELD,10077,1
44,45,4,0,repl,LOAD_FIELD,0,1
45,45,32,0,repl,LOAD_FIELD,0,1
